Date,F_name,L_name,Email,Amount,Category,Description
01-05-2024,Ashish,mishra,ashg@gmail.com,400,Income,from papa
02-05-2024,Ashish,mishra,hshs@gmail.com,300,Expense,travel
03-05-2024,Ashish,mishra,jsjs@gmail.com,500,Income,from papa
04-05-2024,Ashish,mishra,jsjs@gmail.com,200,Expense,travel
05-05-2024,Ashish,mishra,iis@gmail.com,100,Expense,travel
06-05-2024,Ashish,mishra,ashi@gmail.com,900,Income,from papa
07-05-2024,Ashish,mishra,hfdhf@gmail.com,383,Expense,travel
08-05-2024,Ashish,mishra,jsj@gmail.com,376,Expense,travel
09-05-2024,Ashish,mishra,wks@gmail.com,822,Income,from papa
10-05-2024,Ashish,mishra,ww@gmail.com,821,Income,from papa
2024-08-21,Krish,Jha,krish@gmail.com,492.0,Others,From friend
